playerID,Name,birthYear,birthMonth,birthDay
alvarju01,Juan Alvarez,1973,8,9
alvarlu01,Luis Alvarado,1949,1,15
alvaror01,Orlando Alvarez,1952,2,28
alvaros01,Ossie Alvarez,1933,10,19
alvarpe01,Pedro Alvarez,1987,2,6
alvarrj01,R. J. Alvarez,1991,6,8
alvarro01,Rogelio Alvarez,1938,4,18
alvarta01,Tavo Alvarez,1971,11,25
alvarto01,Tony Alvarez,1979,5,10
alvarvi01,Victor Alvarez,1976,11,8
alvarwi01,Wilson Alvarez,1970,3,24
alvaryo01,Yordan Alvarez,1997,6,27
alvisma01,Max Alvis,1938,2,2
alvorbi01,Billy Alvord,1863,8,10
alyeabr01,Brant Alyea,1940,12,8
alzolad01,Adbert Alzolay,1995,3,1
amalfjo01,Joey Amalfitano,1934,1,23
amarari01,Rich Amaral,1962,4,1
amarial01,Alexi Amarista,1989,4,6
amaroru01,Ruben Amaro,1936,1,6
amaroru02,Ruben Amaro,1965,2,12
amblewa01,Wayne Ambler,1915,11,8
ambrech01,Chip Ambres,1979,12,19
ambrihe01,Hector Ambriz,1984,5,24
amburtr01,Trey Amburgey,1994,10,24
amelued01,Ed Amelung,1959,4,13
amesre01,Red Ames,1882,8,2
amesst01,Steve Ames,1988,3,15
amezaal01,Alfredo Amezaga,1978,1,16
amoledo01,Doc Amole,1874,1,1
amorosa01,Sandy Amoros,1930,1,30
amorvi01,Vicente Amor,1932,8,8
anckewa01,Walter Ancker,1893,4,10
anderal01,Alf Anderson,1914,1,28
anderal02,Allan Anderson,1964,1,7
anderan01,Andy Anderson,1922,11,13
anderbi01,Bill Anderson,1895,11,28
anderbo01,Bob Anderson,1935,9,29
anderbr01,Brady Anderson,1964,1,18
anderbr02,Brian Anderson,1972,4,26
anderbr03,Brian Anderson,1982,3,11
anderbr04,Brett Anderson,1988,2,1
anderbr05,Bryan Anderson,1986,12,16
anderbr06,Brian Anderson,1993,5,19
anderbu01,Bud Anderson,1956,5,27
anderch01,Chase Anderson,1987,11,30
anderco01,Cody Anderson,1990,9,14
andercr01,Craig Anderson,1938,7,1
anderda01,Dave Anderson,1868,10,10
anderda02,Dave Anderson,1960,8,1
anderdr01,Drew Anderson,1981,6,9
anderdr02,Drew Anderson,1994,3,22
anderdw01,Dwain Anderson,1947,11,23
anderfe01,Ferrell Anderson,1918,1,9
anderfr01,Fred Anderson,1885,12,11
anderga01,Garret Anderson,1972,6,30
anderge01,George Anderson,1889,9,26
andergo01,Goat Anderson,1880,1,13
anderha01,Hal Anderson,1904,2,10
anderha02,Harry Anderson,1931,9,10
anderia01,Ian Anderson,1998,5,2
anderja01,Jason Anderson,1979,6,9
anderji01,Jim Anderson,1957,2,23
anderji02,Jimmy Anderson,1976,1,22
anderjo01,John Anderson,1873,12,14
anderjo02,John Anderson,1929,11,23
anderjo03,Josh Anderson,1982,8,10
anderju01,Justin Anderson,1992,9,28
anderke01,Kent Anderson,1963,8,12
anderla01,Larry Anderson,1952,12,3
anderla02,Larry Andersen,1953,5,6
anderla03,Lars Anderson,1987,9,25
anderma01,Matt Anderson,1976,8,17
anderma02,Marlon Anderson,1974,1,6
andermi01,Mike Anderson,1951,6,22
andermi02,Mike Anderson,1966,7,30
anderni01,Nick Anderson,1990,7,5
anderre01,Red Anderson,1912,6,19
anderri01,Rick Anderson,1953,12,25
anderri02,Rick Anderson,1956,11,29
andersc01,Scott Anderson,1962,8,1
andersh01,Shaun Anderson,1994,10,29
andersp01,Sparky Anderson,1934,2,22
anderta01,Tanner Anderson,1993,5,27
anderti01,Tim Anderson,1993,6,23
anderty01,Tyler Anderson,1989,12,30
anderva01,Varney Anderson,1866,6,18
anderwa01,Walter Anderson,1897,9,25
anderwi01,Wingo Anderson,1886,8,13
andinro01,Robert Andino,1984,4,25
andrast01,Steve Andrade,1978,2,6
andrecl01,Clayton Andrews,1978,5,15
andreed01,Ed Andrews,1859,4,5
andreel01,Elbert Andrews,1901,12,11
andreer01,Ernie Andres,1918,1,11
andrefr01,Fred Andrews,1952,5,4
andrehu01,Hub Andrews,1922,8,31
andreiv01,Ivy Andrews,1907,5,6
andreji01,Jim Andrews,1865,6,5
andrejo01,John Andre,1923,1,3
andrejo02,John Andrews,1949,2,9
andrejo03,John Andreoli,1990,6,9
andreki01,Kim Andrew,1953,11,14
andremi01,Mike Andrews,1943,7,9
andrena01,Nate Andrews,1913,9,30
andrero01,Rob Andrews,1952,12,11
andresh01,Shane Andrews,1971,8,28
andrest01,Stan Andrews,1917,4,17
andrewa01,Wally Andrews,1859,9,18
andrima01,Matt Andriese,1989,8,28
andrubi01,Bill Andrus,1907,7,25
andruel01,Elvis Andrus,1988,8,26
andrufr01,Fred Andrus,1850,8,23
andruwi01,Wyman Andrus,1858,10,14
andujjo01,Joaquin Andujar,1952,12,21
andujlu01,Luis Andujar,1972,11,22
andujmi01,Miguel Andujar,1995,3,2
angelno01,Norm Angelini,1947,9,24
anglema01,Matt Angle,1985,9,10
angleto01,Tom Angley,1904,10,2
ankenpa01,Pat Ankenman,1912,12,23
ankieri01,Rick Ankiel,1979,7,19
annade01,Dean Anna,1986,11,24
annisbi01,Bill Annis,1857,5,24
ansonca01,Cap Anson,1852,4,17
anthoer01,Eric Anthony,1967,11,8
antoldu01,Dustin Antolin,1989,8,9
antoljo01,Joe Antolick,1916,4,11
antonbi01,Bill Antonello,1927,5,19
antonjo01,John Antonelli,1915,7,15
antonjo02,Johnny Antonelli,1930,4,12
antonma01,Matt Antonelli,1985,4,8
antonte01,Tejay Antone,1993,12,5
aokino01,Nori Aoki,1982,1,5
aparilu01,Luis Aparicio,1934,4,29
apodabo01,Bob Apodaca,1950,1,31
apontlu01,Luis Aponte,1953,6,14
apostsh01,Sherten Apostel,1999,3,11
appelma01,Mark Appel,1991,7,15
appieke01,Kevin Appier,1967,12,6
appleed01,Ed Appleton,1892,2,29
applefr01,Fred Applegate,1879,5,9
applepe01,Pete Appleton,1904,5,20
applilu01,Luke Appling,1907,4,2
aquinar01,Aristides Aquino,1994,4,22
aquingr01,Greg Aquino,1978,1,11
aquinja01,Jayson Aquino,1992,11,22
aquinlu01,Luis Aquino,1964,5,19
aragoan01,Angel Aragon,1890,8,2
aragoja01,Jack Aragon,1915,11,20
arandjo01,Jonathan Aranda,1998,5,23
aranovi01,Victor Arano,1995,2,7
araujel01,Elvis Araujo,1991,7,15
araujpe01,Pedro Araujo,1993,7,2
arauzjo01,Jonathan Arauz,1998,8,3
archdma01,Maurice Archdeacon,1898,12,14
archech01,Chris Archer,1988,9,26
archefr01,Fred Archer,1910,3,7
archeji01,Jimmy Archer,1883,5,13
archeji02,Jim Archer,1932,5,25
archige01,George Archie,1914,4,27
arciafr01,Francisco Arcia,1989,9,14
arciajo01,Jose Arcia,1943,8,22
arciaor01,Orlando Arcia,1994,8,4
arciaos01,Oswaldo Arcia,1991,5,9
ardelda01,Dan Ardell,1941,5,27
ardizru01,Rugger Ardizoia,1919,11,20
ardnejo01,Joe Ardner,1858,2,27
ardoida01,Danny Ardoin,1974,7,8
arellfr01,Frank Arellanes,1882,1,28
arenano01,Nolan Arenado,1991,4,16
arencjp01,J. P. Arencibia,1986,1,5
arftha01,Hank Arft,1922,1,28
ariasal01,Alex Arias,1967,11,20
ariasal02,Alberto Arias,1983,10,14
ariasga01,Gabriel Arias,2000,2,27
ariasge01,George Arias,1972,3,12
ariasjo01,Joaquin Arias,1984,9,21
ariasru01,Rudy Arias,1931,6,6
arihako01,Kohei Arihara,1992,8,11
arletbu01,Buzz Arlett,1899,1,3
arlicdo01,Don Arlich,1943,2,15
arlinst01,Steve Arlin,1945,9,25
armasma01,Marcos Armas,1969,8,5
armasto01,Tony Armas,1953,7,2
armasto02,Tony Armas,1978,4,29
armbrch01,Charlie Armbruster,1880,8,30
armbred01,Ed Armbrister,1948,7,4
armbrha01,Harry Armbruster,1882,3,20
armbror01,Orville Armbrust,1908,3,2
armenro01,Rogelio Armenteros,1994,6,30
armoubi99,Bill Armour,1869,9,3
armstbo01,Robert Armstrong,1850,7,4
armstge01,George Armstrong,1924,6,3
armstho01,Howard Armstrong,1889,12,2
armstja01,Jack Armstrong,1965,3,7
armstmi01,Mike Armstrong,1954,3,7
armstsh01,Shawn Armstrong,1990,9,11
arndtha01,Harry Arndt,1879,2,12
arndtla01,Larry Arndt,1963,2,25
arnolbi01,Billy Arnold,1851,3,2
arnolch01,Chris Arnold,1947,11,6
arnolja01,Jamie Arnold,1974,3,24
arnolsc01,Scott Arnold,1962,8,18
arnolto01,Tony Arnold,1959,5,3
arnovmo01,Morrie Arnovich,1910,11,16
arnsbbr01,Brad Arnsberg,1963,8,20
arntzor01,Orie Arntzen,1909,10,18
arochre01,Rene Arocha,1964,2,24
arojo01,Jonathan Aro,1990,10,10
arozara01,Randy Arozarena,1995,2,28
arraelu01,Luis Arraez,1997,4,9
arredjo01,Jose Arredondo,1984,3,12
arrieja01,Jake Arrieta,1986,3,6
arrigge01,Gerry Arrigo,1941,6,12
arrojro01,Rolando Arrojo,1965,7,18
arroybr01,Bronson Arroyo,1977,2,24
arroych01,Christian Arroyo,1995,5,30
arroyfe01,Fernando Arroyo,1952,3,21
arroylu01,Luis Arroyo,1927,2,18
arroyru01,Rudy Arroyo,1950,6,19
arrueer01,Erisbel Arruebarrena,1990,3,25
arteahu01,Humberto Arteaga,1994,1,23
arundha01,Harry Arundel,1855,2,8
arundtu01,Tug Arundel,1862,6,30
asadora01,Randy Asadoor,1962,10,20
asbelji01,Jim Asbell,1914,6,22
asbjoca01,Casper Asbjornson,1909,6,19
ascanjo01,Jose Ascanio,1985,5,2
ascheco01,Cody Asche,1990,6,30
asencmi01,Miguel Asencio,1980,9,29
ashburi01,Richie Ashburn,1927,3,19
ashbyaa01,Aaron Ashby,1998,5,24
ashbyal01,Alan Ashby,1951,7,8
ashbyan01,Andy Ashby,1967,7,11
ashcrgr01,Graham Ashcraft,1998,2,11
asheral01,Alec Asher,1991,10,4
ashfotu01,Tucker Ashford,1954,12,4
